feature_1,feature_2,target
0.0,0.30471707975443135,0
0.3448275862068966,-1.0399841062404955,0
0.6896551724137931,0.7504511958064572,0
1.0344827586206897,0.9405647163912139,0
1.3793103448275863,-1.9510351886538364,0
1.7241379310344829,-1.302179506862318,0
2.0689655172413794,0.12784040316728537,0
2.413793103448276,-0.3162425923435822,0
2.7586206896551726,-0.016801157504288795,0
3.1034482758620694,-0.85304392757358,0
3.4482758620689657,0.8793979748628286,0
3.793103448275862,0.7777919354289483,0
4.137931034482759,0.06603069756121605,0
4.482758620689656,1.1272412069680329,1
4.827586206896552,0.4675093422520456,1
5.172413793103448,-0.8592924628832382,0
5.517241379310345,0.36875078408249884,1
5.862068965517242,-0.9588826008289989,0
6.206896551724139,0.8784503013072725,1
6.551724137931035,-0.049925910986252896,1
6.8965517241379315,-0.18486236354526056,1
7.241379310344828,-0.6809295444039414,1
7.586206896551724,1.2225413386740303,1
7.931034482758621,-0.15452948206880215,1
8.275862068965518,-0.4283278221631072,1
8.620689655172415,-0.3521335504882296,1
8.965517241379311,0.5323091855533487,1
9.310344827586208,0.36544406436407834,1
9.655172413793103,0.4127326115959884,1
10.0,0.43082100300788273,1
